"SongName","ArtistName","AlbumName"
"Hold On Dear Brother","The Beach Boys","Carl and the Passions: \"So Tough\""
"Outshined","Soundgarden","Badmotorfinger"
"Scentless Apprentice","Nirvana","In Utero"
"Plush","Stone Temple Pilots","Core"
"I Like","Men Without Hats","Greatest Hats"
"Echo Beach","Martha and the Muffins","Women & Songs The 80s"
"Who's Crying Now","Journey","Journeys Greatest Hits"
"Fooled Around and Fell in Love","Elvin Bishop","Ace in the Hole"
"Don’t Take Me Alive","Steely Dan","The Royal Scam"
"The Grand Illusion","Styx","The Grand Illusion"
"Country House","Blur","The Great Escape"
"Some Velvet Morning","Lee Hazlewood","Softcore Jukebox"
"One in a Hundred","Gene Clark","Roadmaster"
"(Oh Dear) Miss Morse","Pearls Before Swine","One Nation Underground"
"Why","Andy Gibb","Shadow Dancing"
"Toulouse Street","The Doobie Brothers","Toulouse Street"
"Man in the Middle","Bee Gees","This Is Where I Came In"
"Suite Madame Blue","Styx","Greatest Hits"
"Colour My World","Chicago","Chicago II (disc 1)"
"Edison","Bee Gees","Odessa"
"Only a Fool Would Say That","Steely Dan","Can’t Buy a Thrill"
"Ebony Eyes","Bob Welch","The Best of Bob Welch"
"Angie","The Rolling Stones","The Rolling Stones"
"Play With Fire","The Rolling Stones","Out of Our Heads"
"P.E. Squad/DooDoo Chasers (\"Going All-The-Way Off\" instrumental)","Funkadelic","One Nation Under a Groove"
"Poison (Alice Cooper)","Superhits","Of the 80`s"
"Might as Well Be on Mars","Alice Cooper","\"Hey Stoopid\" By Noxos"
"Rock and Roll Fantasy","Bad Company","The 'Original' Bad Co. Anthology"
"Hair Of The Dog","Nazareth","Lords Of Dogtown"
"Razamanaz","Nazareth","The Very Best Of"
"Cucumber Castle","Bee Gees","BBC Sessions 1967-1973"
"Nothing to Say","Soundgarden","A-Sides"
"Whistle","Flo Rida","Nederlandse Top 40 week 27 2012"
"Ween / Gabrielle","Triple J","Hottest 100 Volume 13 Disc 1"
"Wish You Well","Bernard Fanning","Tea & Sympathy"
"Bravery / An Honest Mistake","Triple J","Hottest 100 Volume 13 Disc 2"
"Lithium ","Nirvana","Bleach"
"Talybont","Gentle Giant","Free Hand [2010 Remaster]"
"Carolina Hard-Core Ecstasy","Frank Zappa & Captain Beefheart","Bongo Fury"
"Primitive Ways","Death","Leprosy"
"Walk On The Ocean","Toad The Wet Sprocket/Toad The Wet Sprocket","P.S. (Toad Retrospective)"
"Way cool junior","Ratt","Unknown Album"
"A Song For Rosie","Matt Berry","Witchazel Final"
"Nevertheless","BJM","Tepid Peppermint Wonderland: A Retrospective"
"Rock & Roll","The Velvet Underground","Loaded"
"Happy","The Rolling Stones","Exile on Main St."
"Children of the Revolution","T. Rex","The Essential Collection"
"Rocks Off","The Rolling Stones","Exile on Main St."
"On The Wings Of Love","Jeffrey Osborne","Cruisin' Love Songs"
"Gypsy Road","Cinderella","Long Cold Winter"
"I Knew I’d Want You","The Byrds","Mr. Tambourine Man"
"It's No Use [Alternate Version]","The Byrds","Mr. Tambourine Man"
"Flying Teapot","Gong","Flying Teapot: Radio Gnome Invisible, Part 1"
"Proclamation","Gentle Giant","The Power and the Glory"
"Jump on It","Sir Mix-A-Lot","Return of the Bumpasaurus"
"Carz","Sir Mix-A-Lot","Single"
"Wild Child","The Doors","Apocalypse Now"
"Brokedown Palace","Grateful Dead","American Beauty"
"Does Anybody Really Know What Time It Is?","Chicago","If You Leave Me Now"
"Listen To The Music","The Doobie Brothers","Greatest Hits"
"Funk 50","Joe Walsh","Analog Man"
"Surrender","Cheap Trick","The Greatest Hits"
"Young Love","The Amboy Dukes","The Amboy Dukes"
"It's All Right","Joe Walsh","Songs for a Dying Planet"
"Babylon Sisters","Steely Dan","Gaucho"
"Bungle in the Jungle","Jethro Tull","M.U.: The Best of Jethro Tull"
"You Think You're Tough","Ratt","Ratt"
"Accident At A Harvest Festival","Matt Berry","Witchazel Final"
"From The Manger To The Mortuary","Matt Berry","Witchazel Final"
"The Wreck of the Edmund Fitzg","Gordon Lightfoot","Sundown"
"Uncle Johns Band","Grateful Dead","Workingman's Dead"
"Treetop Flyer","Stephen Stills","Just Roll Tape"
"Ah! Leah!","Donnie Iris","Back on the Streets"
"Never My Love","The Association","Greatest Hits!"
"I Knew I'd Want You","The Byrds","Original Singles 1965-1967 - Volume 1"
"Deja Vu","David Crosby","King Biscuit Flower Hour"
"I'm Insane","Ratt","The Wrestler"
"America","Yes","Yesterdays"
"Radio Spot #1","The Beach Boys","Good Vibrations: Thirty Years of the Beach Boys"
"Lady","Little River Band","Forever Blue"
"I Can't Hear You","Donnie Iris","Back on the Streets"
"Thunder Island","Jay Ferguson","Thunder Island"
"Spaceship Superstar","Prism","Prism"
"Innocence","Harlequin","Greatest Hits"
"Never My Love","The Association","Greatest Hits!"
"Use it","The New Pornographers","Promo Only Modern Rock October 2005"
"Jackson","Nancy Sinatra","The Very Best Of - 24 Great Songs"
"You Could Have Been a Lady","April Wine","On Record"
"Lady","Kenny Rogers","20 Great Years"
"You Could Have Been a Lady","Hot Chocolate","Every 1's a Winner: The Very Best of Hot Chocolate"
"Heaven Is In The Backseat Of My Cadillac (The Revenge Mix)","Hot Chocolate","dont know"
"Da Dip","Freak Nasty","Promo Only: Mainstream Radio, April 1997"
"Boston Rag","Steely Dan","Memphis Blues Again"
"Higher Power (Kalodner edit)","Boston","Greatest Hits"
"Just for Love","Electric Light Orchestra","Zoom"
"Lookin' at Tomorrow (A Welfare Song)","The Beach Boys","Surf's Up"
"Take It on the Run","REO Speedwagon","The Ballads"
"Just Like That","April Wine","Electric Jewels"
"Little Dreamer","Van Halen","Van Halen"
"Till the Morning Comes","Grateful Dead","American Beauty"
"Rhinosaur","Soundgarden","Down on the Upside"
"Didn't You","April Wine","On Record"
"Journey To The Centre of the Mind","The Amboy Dukes","Journey to the Center of the Mind"
"Death Is Life","The Amboy Dukes","Journey to the Center of the Mind"
"Missionary Mary","The Amboy Dukes","Journey to the Center of the Mind"
"Flight of the Byrd","The Amboy Dukes","Journey to the Center of the Mind"
"I'll Prove I'm Right","The Amboy Dukes","Journey to the Center of the Mind"
"Broken Arrow","Buffalo Springfield","Buffalo Springfield Again"
"Ivory Castles","The Amboy Dukes","Journey to the Center of the Mind"
"She Don't Care About Time (Single Version)","The Byrds","Turn! Turn! Turn!"
"In My Dreams With You","Steve Vai feat. Devin Townsend","Sex & Religion"
"Petition the Lord With Prayer","The Doors","Absolutely Live"
"Kush ( feat. Snoop Dogg & Akon)","Dr. Dre","Kush"
"Them Bones","Alice in Chains","Dirt"
"Rooster","Alice in Chains","Dirt"
"Tired of Being Alive","Danzig","Danzig II: Lucifuge"
"Lucky Man","Emerson, Lake & Palmer",""
"Everybody's Talking At Me","Harry Nilsson","Midnight Cowboy"
"It's Great to Be Here","Jackson 5","Maybe Tomorrow"
"Fire & Rain","James Taylor","James Taylor: Greatest Hits"
"Let It All Fall Down","James Taylor","Walking Man"
"You Didn't Have To Be So Nice","The Lovin' Spoonful","AM Gold 1966"
"AKA... What a Life!","Noel Gallager","Noel Gallagher’s High Flying Birds"
"The Death Of You And Me","Noel Gallagher's High Flying Birds -","High Flying Birds"
"Alone On The Rope","Noel Gallagher's High Flying Birds -","High Flying Birds"
"Subdivisions","Rush","The Spirit of Radio: Greatest Hits 1974-1987"
"The Fastest Guitar Alive [From The Fastest Guitar Alive]","Roy Orbison","The Legendary Roy Orbison"
"West End Girls","Pet Shop Boys","Pet Shop Boys"
"Jackie Blue","The Ozark Mountain Daredevils","'70s Music Explosion: Escape"
"The Baying of the Hounds","Opeth","Ghost Reveries"
"Whispering Pines","Work in progress","A Musical History Disc 3"
"Leavin'","Texas Hippie Coalition","Pride of Texas"
"Grand Illusion","Styx","The Grand Illusion"
"Deacon Blues","Steely Dan","Showbiz Kids: The Steely Dan Story"
"Hangman Hang My Shell on a Tree","Spooky Tooth","Spooky Two"
"Just Like Paradise","David Lee Roth","Best Of David Lee Roth"
"You Were Never There","Diego Garcia","Laura"
"Ordinary Average Guy","Joe Walsh","Greatesthits"
"Theme From Boat Weirdos","Joe Walsh","\"But Seriously, Folks...\""
"Fight the Good Fight","Triumph","Classics"
"The Warmth Of The Sun","Willie Nelson & The Beach Boys","Stars And Stripes, Vol. 1"
"Use it","The New Pornographers","Promo Only Modern Rock October 2005"
"01-Gravity Lane","Béla Fleck and The Flecktones","Rocket Science"
"Spiral Architect","Black Sabbath","Sabbath Bloody Sabbath"
"Hail Mary","2Pac","Greatest Hits"
"Sister Golden Hair","America","Classic Rock 70's Disc 1"
"Like Suicide","Soundgarden","Superunknown"
"West End Girls","Pet Shop Boys","Pet Shop Boys"
"Who Can It Be Now? (Album Version)","Men at Work","Now That's What I Call The 80s"
"Lonely Sea","The Beach Boys","Surfin' U.S.A."
"Saint Joe on the School Bus","Marcy Playground","Marcy Playground"
"Unchained","Van Halen","Best Of, Volume 1"
"Hands All Over","Soundgarden","A-Sides"
"Going Back to Cali","The Notorious B.I.G.","Life After Death"
"Hypnotize","The Notorious B.I.G.","Life After Death"
"Lil Ass Gee","Ice Cube","Lethal Injection"
"Whale & Wasp","Alice in Chains","Jar of Flies"
"Dance the Night Away","Van Halen","Van Halen II"
"Just the Thought","Eric Burdon and the Animals","The Twain Shall Meet"
"Apostrophe","Frank Zappa","Apostrophe (') / Overnite Sensation"
"Making Plans for Nigel","XTC","Drums and Wires (remastered)"
"Eyes Of A Stranger","Payolas","Between A Rock And A Hyde Place: The Best Of Payola$"
"Eyes Of A Stranger","Payolas","The Millennium Collection"
"Dirty Water","Rock & Hyde","Under the Volcano"
"Jeff's Blues","The Yardbirds","Having a Rave Up"
"Beck's Bolero","Jeff Beck","The Best of Beck [Epic]"
"Moment in Paradise","Electric Light Orchestra","Zoom"
"Old and Wise","Alan Parsons","Eye in the Sky"
"When It's Love","Van Halen","Best Of, Volume 1"
"A Song For Jenny","Humble Pie","Rock On"
"Aqualung","Jethro Tull","20 Years of Jethro Tull"
"Sea of Joy","Blind Faith","Blind Faith"
"Warmth Of The Sun","The Beach Boys","Shut Down Volume Two"
"The Ballad of Peter Pumpkinhead","XTC","Upsy Daisy Assortment"
"Dance Hall Days","Wang Chung","Grand Theft Auto: Vice City, Volume 4: Flash FM"
"Hold the Line","Toto","'70s Rock Hits"
"50 Ways To Leave Your Lover","Paul Simon","70s"
"Year Of The Cat","Al Stewart","Rhino Instant Party '70s Rockadelic"
"Thunderbox","Humble Pie","Thunderbox"
"Deacon Blues","Steely Dan","The Definitive Collection"
"Reminiscing","Little River Band","Sleeper Catcher"
"Still Loving You","Scorpions","Bad for Good: The Very Best of Scorpions"
"Legend of a Mind","The Moody Blues","In Search of the Lost Chord"
"I Guess That's Why They Call It the Blues","Elton John","The Very Best of Elton John"
"Afterglow","Genesis","Wind & Wuthering"
"Young Turks (Album Version)","Rod Stewart","Very Best of Rod Stewart, The"
"Everytime You Go Away (Album Version)","Paul Young","100 80's Hits"
"Symptom of the Universe","Black Sabbath","The Best of Black Sabbath"
"The Boston Rag","Steely Dan","Countdown to Ecstasy"
"Reelin’ in the Years","Steely Dan","Can’t Buy a Thrill"
"The Crack of the Willow","Caravan","Cool Water"
"Dirty Work","Steely Dan","Can’t Buy a Thrill"
"What You're Doing","Rush","All the World's a Stage"
"Captain Shenanigans and the Boy Magnet","Captain of the Swedish Team","Brand New Skinny Ghost, Meet Your Brand New Angel Monster"
"Angie","The Rolling Stones","The Rolling Stones"
"What a Fool Believes","Michael McDonald","The Ultimate Collection"
"Peg","Steely Dan","A Decade of Steely Dan"
"And You And I","Yes","Yessongs (disc 1)"
"Hello It's Me [LP Version]","Todd Rundgren","Something/Anything?"
"Midnight Confessions","The Grass Roots","Jackie Brown"
"All Mixed Up","311","311"
"Hey You (Main Version)","311","Uplifter"
"Pictures of Lily","The Who","Who's Better, Who's Best"
"What's the Frequency, Kenneth?","R.E.M.","In Time: The Best of R.E.M. 1988-2003"
"Possum Kingdom","Toadies","Rubberneck"
"Good","Better Than Ezra","Greatest Hits"
"Sons of the Stage","Beady Eye","Different Gear, Still Speeding"
"So You Want to Be a Rock 'N' Roll Star [Live]","The Byrds","Untitled/Unissued Disc 1"
"Witch Hunt","Rush","Moving Pictures"
"Lips n’ Stuff","Les Savy Fav","Root for Ruin"
"For Anyone","Beady Eye","Different Gear, Still Speeding"
"It's All I Can Do","The Cars","Complete Greatest Hits"
"In A Gadda Da Vida","Iron Butterfly","Heavy"
"On The Loose","Saga","1978 - 1993 - All The Best"
"Straight Lines","Silverchair","Young Modern"
"20th Century Boy","T. Rex","Tanx"
"Suite Madame Blue","Styx","Greatest Hits"
"Slip Away","Clarence Carter","The Best of Clarence Carter"
"Body Bounce","Akon","Stadium"
"Body Bounce","Akon","Stadium"
"Pretty Noose","Soundgarden","Down on the Upside"
"Island of the Honest Man","Hot Hot Heat","Elevator"
"One in a Hundred","Gene Clark","Roadmaster"
"96 Tears","? and the Mysterians","Pitchforkmedia: The 200 Greatest Songs of the 1960s"
"I Want'a Do Something Freaky To You","Leon Haywood","Starsky & Hutch"
"Screaming Trees / Nearly Lost You","Various Artists","Singles Soundtrack"
"The Hazards of Sitting Beneath Palm Trees","Hayden","The Closer I Get"
"Mixed Emotions (7\" version)","The Rolling Stones","Mixed Emotions"
"Down on the Farm","The Doors","Other Voices"
"Lay Lady Lay (alternate version)","The Byrds","Play the Songs of Bob Dylan"
"Let The Wind Blow","The Beach Boys","The Beach Boys"
"Working Man","Rush","Rush"
"When I Grow Up (To Be a Man)","The Beach Boys","Made in U.S.A."
"Street Carp","Deftones","White Pony"
"Agua de Beber","Frank Sinatra","Sinatra & Company"
"Get Off of My Cloud","The Rolling Stones","Rolled Gold"
"I Call Your Name","The Mamas & the Papas","The Very Best Of"
"Down by the Seaside","Led Zeppelin","Golden Ballads"
"Street Fighting Man","The Rolling Stones","Get Your Leeds Lungs Out!"
"Wheel in the Sky","Journey","Greatest Hits"
"Radio Spot: Sweetheart of the Rodeo Album","The Byrds","Sweetheart of the Rodeo"
"Along Came Jones","The Coasters","The Ultimate Coasters"
"Bron Y Aur","Led Zeppelin","Physical Graffiti II"
"Please","Nine Inch Nails","The Fragile"
"Im Afraid Of Americans V1","David Bowie","I’m Afraid of Americans"
"2-4-2 Fox Trot (The Lear Jet Song)","The Byrds","Fifth Dimension"
"Lazy Days","The Byrds","Sweetheart of the Rodeo"
"You Ain't Goin' Nowhere","Gram Parsons","Sweetheart of the Rodeo"
"When You're Gone","Bryan Adams","Bryan Adams"
"Seger,B-Greatest..-06-Still The Same","Seger, Bob","Greatest Hits"
"So You Want to Be a Rock 'N' Roll Star [Live]","The Byrds","Untitled/Unissued Disc 1"
"Sister Golden Hair","America","Classic Rock 70's Disc 1"
"Be Quiet and Drive (Far Away)","Deftones","Around the Fur"
"When The Levy Breaks","Led Zeppelin","[Led Zeppelin IV]"
"In the Mood","Rush","Rush"
"Witch Hunt","Rush","Moving Pictures"
"Turn of the Century","Bee Gees","Bee Gees' 1st"
"Red Chair, Fade Away","Bee Gees","Bee Gees' 1st"
"Cucumber Castle","Bee Gees","Bee Gees' 1st"
"Candy Licker","Marvin Sease","Marvin Sease"
"Georgia-lina","James Brown","Universal James"
"Surrender","Cheap Trick","The Greatest Hits"
"Heart And Soul","Huey Lewis & the News","Huey Lewis and The News"
"That's the Hold","Kim Mitchell","Greatest Hits"
"Somebody's Out There","Triumph","Classics"
"The Seeker","The Who","BBC Sessions"
"Fool for You Anyway","Foreigner","Can't Slow Down"
"We Have Heaven","Yes","Fragile (Expanded & Remastered)"
"South Side Of The Sky","Yes","Fragile (Expanded & Remastered)"
"Ventura Highway","America","101 Driving Songs (Disc 3)"
"DAY AFTER DAY","Alan Parsons","I Robot"
"I Must Stand","Ice-T","VI: Return of the Real"
"Summer Breeze.mp3","Seals & Crofts",""
"diamond girl","Seals & Crofts",""
"BetweenTheSheets","Isley Brothers","Smooth Love"
"Footsteps in the Dark","Isley Brothers","Smooth Love"
"We No Speak Americano","Yolanda Be Cool & Dcup","a"
"The Revealing Science Of God / Dance Of The Dawn","Yes","Tales From Topographic Oceans"
"Going for the One","Yes","Going for the One"
"The Turn of a Friendly Card: I. The Turn of a Friendly Card, Part One","The Alan Parsons Project","The Turn of a Friendly Card"
"The Boston Rag","Steely Dan","Countdown to Ecstasy"
"Your Talk Sunshine, I Breath Fire (Bonus Track)","The Amboy Dukes","Journey to the Center of the Mind"
"Surrender to Your Kings","The Amboy Dukes","Journey to the Center of the Mind"
"Crockett's Theme","Jan Hammer","Miami Vice: The Complete Collection"
"Cold Sweat","Bernard Purdie","Purdie Good"
"Wasteland","Bernard Purdie","Purdie Good"
"love my way","psychedelic furs","This Is 80's New Wave"
"You're all I got tonight","The Cars","Complete Greatest Hits"
"This Will Be Our Year","The Zombies","Pitchfork's 200 Greatest Songs of the 1960s"
"Alone On The Rope","Noel Gallagher's High Flying Birds -","High Flying Birds"
"Seasons","Chris Cornell","Singles [Original Soundtrack]"
